defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,Assembly_Station,Shift,Inspector_ID,Defect_Present,Total_Units_Produced,Units_Passed_First_Time,Units_Reworked,Units_Rejected,Specific_Defect_Type,Root_Cause,Corrective_Action,Preventive_Action,Implementation_Status,Defect_Risk_Probability
1,15,Structural,02/05/2026,Component,Minor,Visual Inspection,245.47,strap,2,I-104,1,334,304,15,15,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7869
2,6,Functional,12/26/2025,Component,Minor,Visual Inspection,26.87,movement,3,I-101,0,112,92,9,11,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7216
3,84,Structural,10/16/2025,Internal,Minor,Automated Testing,835.81,dial,1,I-101,1,200,188,5,7,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.7874
4,10,Functional,11/27/2025,Internal,Critical,Automated Testing,444.47,strap,1,I-101,0,123,93,16,14,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.6943
5,14,Cosmetic,12/26/2025,Component,Minor,Manual Testing,823.64,strap,1,I-102,1,463,340,23,100,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.7731
6,17,Functional,01/10/2026,Internal,Moderate,Visual Inspection,788.11,movement,1,I-104,1,110,85,3,22,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8475
7,85,Cosmetic,01/22/2026,Internal,Critical,Manual Testing,33.68,dial,1,I-101,1,372,315,38,19,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.7874
8,90,Structural,09/15/2025,Internal,Moderate,Manual Testing,65.56,dial,1,I-104,1,380,320,5,55,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8685
9,30,Structural,09/26/2025,Component,Critical,Manual Testing,848.61,strap,1,I-102,0,193,179,18,-4,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7731
10,20,Structural,02/04/2026,Component,Critical,Visual Inspection,478.48,case,2,I-101,1,300,243,32,25,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7618
11,45,Structural,12/28/2025,Surface,Moderate,Automated Testing,217.96,strap,3,I-103,1,120,100,4,16,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7202
12,86,Structural,10/26/2025,Component,Minor,Manual Testing,485.02,strap,1,I-102,1,439,308,6,125,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7731
13,87,Cosmetic,02/19/2026,Component,Minor,Visual Inspection,714.63,strap,2,I-103,1,310,252,18,40,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7384
14,72,Cosmetic,01/07/2026,Surface,Critical,Manual Testing,603.94,strap,2,I-104,1,239,210,5,24,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7869
15,74,Cosmetic,01/02/2026,Component,Critical,Manual Testing,189.55,movement,3,I-104,0,392,276,10,106,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.8221
16,10,Functional,09/20/2025,Component,Minor,Automated Testing,458.79,dial,1,I-102,0,397,309,18,70,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.8475
17,53,Structural,01/13/2026,Internal,Minor,Visual Inspection,509.35,movement,3,I-104,0,200,151,10,39,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.8221
18,63,Cosmetic,01/20/2026,Component,Critical,Visual Inspection,538.99,movement,1,I-103,1,403,286,33,84,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8095
19,28,Functional,10/16/2025,Internal,Critical,Manual Testing,34.93,movement,2,I-101,1,458,382,48,28,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.7398
20,81,Structural,01/24/2026,Internal,Moderate,Manual Testing,557.11,strap,2,I-101,1,127,95,11,21,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.6744
21,67,Functional,01/02/2026,Surface,Minor,Visual Inspection,831.43,case,2,I-101,1,140,127,4,9,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7618
22,6,Structural,11/05/2025,Surface,Minor,Visual Inspection,504.9,dial,2,I-102,1,454,425,15,14,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.8352
23,33,Structural,01/05/2026,Surface,Moderate,Automated Testing,349.23,case,3,I-104,1,402,342,53,7,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.8387
24,15,Structural,10/24/2025,Component,Critical,Visual Inspection,560.39,movement,1,I-103,1,245,238,21,-14,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.8095
25,13,Cosmetic,10/20/2025,Surface,Moderate,Manual Testing,629.71,movement,1,I-104,1,355,293,46,16,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8475
26,39,Structural,02/14/2026,Component,Moderate,Visual Inspection,975.44,case,3,I-104,1,326,275,20,31,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.8387
27,60,Cosmetic,01/07/2026,Component,Moderate,Manual Testing,737.54,case,1,I-104,1,335,327,32,-24,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8621
28,42,Structural,09/02/2025,Component,Critical,Manual Testing,592.87,case,2,I-101,0,460,351,38,71,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.7618
29,3,Structural,09/13/2025,Component,Moderate,Automated Testing,99.82,movement,1,I-103,1,479,461,26,-8,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.8095
30,17,Functional,09/22/2025,Surface,Critical,Visual Inspection,106.34,movement,2,I-103,1,112,79,8,25,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.7948
31,30,Structural,12/30/2025,Surface,Critical,Automated Testing,352.58,dial,3,I-104,1,309,254,24,31,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.846
32,25,Structural,11/28/2025,Surface,Moderate,Visual Inspection,734.12,dial,1,I-101,1,328,236,12,80,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.7874
33,14,Cosmetic,01/14/2026,Internal,Minor,Visual Inspection,953.54,movement,3,I-101,1,496,448,26,22,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.7216
34,58,Structural,02/18/2026,Surface,Critical,Manual Testing,753.89,case,1,I-103,1,199,173,24,2,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8269
35,48,Functional,12/04/2025,Component,Critical,Automated Testing,955.91,case,2,I-101,1,130,116,17,-3,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.7618
36,20,Structural,02/03/2026,Surface,Critical,Automated Testing,776.91,dial,3,I-101,1,485,390,29,66,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.755
37,68,Cosmetic,09/20/2025,Internal,Critical,Manual Testing,607.96,movement,1,I-101,1,115,92,6,17,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.7571
